,Biomass composition,Fitness
0,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c']",0.7716309707738936
1,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', '3ophb_c', 'thmmp_c', 'hemeO_c', 'fad_c']",0.7716309707738936
2,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c', 'fmn_c', '5mtr_e']",0.7716309707738936
3,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c', '3hocoa_c', '2tpr3dpcoa_c', 'bmocogdp_c', 'prbamp_c']",0.7716309707738936
4,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'thmmp_c', 'td2coa_c', 'tdecoa_c', 'murein3px4p_p', 'lipidA_c', '2ohph_c', 'methf_c', 'u3aga_c', 'tdcoa_c']",0.7716309707738936
5,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c']",0.7716309707738936
6,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', '3ophb_c', 'thmmp_c', 'hemeO_c', 'fad_c', 'stcoa_c']",0.7716309707738936
7,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c', '3htdcoa_c']",0.7716309707738936
8,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c', '25drapp_c']",0.7716309707738936
9,"['thmpp_c', 'murein5px4p_p', 'uaagmda_c', 'ahcys_c', '3hodcoa_c', 'kdo2lipid4_e', '5fthf_c', 'nadphx__R_c', '2ombzl_c', '3otdcoa_c', 'thmmp_c', 'hemeO_c', 'fad_c', 'fmn_c']",0.7716309707738936
